Bin:all	home_number:4534017	home_cali:0.421754042828	home_model:0.412157018615	away_number:4534017	away_cali:0.467504202124	away_model:0.371831439365	end_number:4534017	end_cali:0.1104779713	end_model:0.216011542133	kld:0.042674050397	mae:0.0702677859346
Bin:period_1-scoreDifferential_6-zone_dz-manpowerSituation_evenStrength-home_away_0-	home_number:50	home_cali:1.0	home_model:0.444967614412	away_number:50	away_cali:0.0	away_model:0.381411715746	end_number:50	end_cali:0.0	end_model:0.173620664179	kld:0.809753771688	mae:0.370021588504
Bin:period_1-scoreDifferential_-3-zone_dz-manpowerSituation_shortHanded-home_away_0-	home_number:225	home_cali:0.466666666667	home_model:0.495425818364	away_number:225	away_cali:0.422222222222	away_model:0.345260514551	end_number:225	end_cali:0.111111111111	end_model:0.159313669999	kld:0.0170187952114	mae:0.0513078060857
Bin:period_3-scoreDifferential_6-zone_nz-manpowerSituation_shortHanded-home_away_0-	home_number:25	home_cali:0.12	home_model:0.340878593922	away_number:25	away_cali:0.16	away_model:0.357582873106	end_number:25	end_cali:0.72	end_model:0.301538541317	kld:0.372699337553	mae:0.27897430857
Bin:period_1-scoreDifferential_-1-zone_oz-manpowerSituation_powerPlay-home_away_0-	home_number:9464	home_cali:0.356297548605	home_model:0.428131657235	away_number:9464	away_cali:0.634087066779	away_model:0.418098236832	end_number:9464	end_cali:0.00961538461538	end_model:0.153770105724	kld:0.171984159869	mae:0.143992553229
Bin:period_2-scoreDifferential_1-zone_dz-manpowerSituation_shortHanded-home_away_0-	home_number:7321	home_cali:0.518098620407	home_model:0.41542446032	away_number:7321	away_cali:0.407048217457	away_model:0.387271854501	end_number:7321	end_cali:0.0748531621363	end_model:0.197303685869	kld:0.0621538234499	mae:0.0816336822585
Bin:period_2-scoreDifferential_-2-zone_oz-manpowerSituation_evenStrength-home_away_1-	home_number:26487	home_cali:0.473137765696	home_model:0.418288681896	away_number:26487	away_cali:0.508815645411	away_model:0.371137287998	end_number:26487	end_cali:0.0180465888927	end_model:0.210574030824	kld:0.174497570065	mae:0.128351627715
Bin:period_1-scoreDifferential_2-zone_nz-manpowerSituation_powerPlay-home_away_1-	home_number:199	home_cali:0.452261306533	home_model:0.455232579954	away_number:199	away_cali:0.547738693467	away_model:0.38400912195	end_number:199	end_cali:0.0	end_model:0.160758298546	kld:0.191557995901	mae:0.109153047828
Bin:period_1-scoreDifferential_-1-zone_oz-manpowerSituation_shortHanded-home_away_0-	home_number:415	home_cali:0.481927710843	home_model:0.455754457288	away_number:415	away_cali:0.481927710843	away_model:0.389060446279	end_number:415	end_cali:0.0361445783133	end_model:0.155185098531	kld:0.0774060068596	mae:0.0793603461124
Bin:period_2-scoreDifferential_-6-zone_nz-manpowerSituation_shortHanded-home_away_1-	home_number:5	home_cali:0.0	home_model:0.378171598911	away_number:5	away_cali:1.0	away_model:0.404105478525	end_number:5	end_cali:0.0	end_model:0.217722910643	kld:0.906079345227	mae:0.397263010343
Bin:period_1-scoreDifferential_-1-zone_dz-manpowerSituation_shortHanded-home_away_1-	home_number:4874	home_cali:0.438654082889	home_model:0.457049224194	away_number:4874	away_cali:0.541649569142	away_model:0.390001702948	end_number:4874	end_cali:0.0196963479688	end_model:0.152949072706	kld:0.119523683089	mae:0.101098577412
Bin:period_3-scoreDifferential_1-zone_dz-manpowerSituation_evenStrength-home_away_0-	home_number:57830	home_cali:0.302040463427	home_model:0.365440033978	away_number:57830	away_cali:0.437316271831	away_model:0.345786758296	end_number:57830	end_cali:0.260020750476	end_model:0.288773207767	kld:0.0178747177581	mae:0.0612271804592
Bin:period_2-scoreDifferential_4-zone_oz-manpowerSituation_evenStrength-home_away_1-	home_number:2143	home_cali:0.343443770415	home_model:0.399300111747	away_number:2143	away_cali:0.424638357443	away_model:0.391710826742	end_number:2143	end_cali:0.231917872142	end_model:0.208989061498	kld:0.00666373113399	mae:0.0372375608922
Bin:period_3-scoreDifferential_7-zone_nz-manpowerSituation_evenStrength-home_away_1-	home_number:87	home_cali:0.919540229885	home_model:0.374906033278	away_number:87	away_cali:0.0114942528736	away_model:0.33110732765	end_number:87	end_cali:0.0689655172414	end_model:0.293986639929	kld:0.686387455814	mae:0.36308946469
Bin:period_2-scoreDifferential_-4-zone_oz-manpowerSituation_powerPlay-home_away_0-	home_number:557	home_cali:0.24236983842	home_model:0.437292825491	away_number:557	away_cali:0.49012567325	away_model:0.357110889923	end_number:557	end_cali:0.26750448833	end_model:0.205596286802	kld:0.0825627011927	mae:0.129948657309
Bin:period_2-scoreDifferential_-6-zone_dz-manpowerSituation_powerPlay-home_away_0-	home_number:14	home_cali:1.0	home_model:0.457085960678	away_number:14	away_cali:0.0	away_model:0.324326117124	end_number:14	end_cali:0.0	end_model:0.21858792752	kld:0.782883803632	mae:0.361942694655
