Bin:all	home_number:4532064	home_cali:0.42193578908	home_model:0.420020000453	away_number:4532064	away_cali:0.467705663468	away_model:0.375441804343	end_number:4532064	end_cali:0.110112081383	end_model:0.204538195013	kld:0.0365042179127	mae:0.0628685871273
Bin:period_1-scoreDifferential_6-zone_dz-manpowerSituation_evenStrength-home_away_0-	home_number:50	home_cali:1.0	home_model:0.438530055881	away_number:50	away_cali:0.0	away_model:0.397683714032	end_number:50	end_cali:0.0	end_model:0.163786225617	kld:0.824326922654	mae:0.37431329459
Bin:period_1-scoreDifferential_-3-zone_dz-manpowerSituation_shortHanded-home_away_0-	home_number:225	home_cali:0.466666666667	home_model:0.507887837754	away_number:225	away_cali:0.422222222222	away_model:0.344133898086	end_number:225	end_cali:0.111111111111	end_model:0.147978265021	kld:0.0150064667511	mae:0.0520588830445
Bin:period_3-scoreDifferential_6-zone_nz-manpowerSituation_shortHanded-home_away_0-	home_number:25	home_cali:0.12	home_model:0.346350333691	away_number:25	away_cali:0.16	away_model:0.360856057405	end_number:25	end_cali:0.72	end_model:0.292793619633	kld:0.390519980703	mae:0.284804257154
Bin:period_1-scoreDifferential_-1-zone_oz-manpowerSituation_powerPlay-home_away_0-	home_number:9464	home_cali:0.356297548605	home_model:0.444424943174	away_number:9464	away_cali:0.634087066779	away_model:0.416674541874	end_number:9464	end_cali:0.00961538461538	end_model:0.138900514171	kld:0.161817044263	mae:0.14494168301
Bin:period_2-scoreDifferential_1-zone_dz-manpowerSituation_shortHanded-home_away_0-	home_number:7321	home_cali:0.518098620407	home_model:0.423298673049	away_number:7321	away_cali:0.407048217457	away_model:0.391582424475	end_number:7321	end_cali:0.0748531621363	end_model:0.185118902482	kld:0.0526912800085	mae:0.0735104935619
Bin:period_2-scoreDifferential_-2-zone_oz-manpowerSituation_evenStrength-home_away_1-	home_number:26487	home_cali:0.473137765696	home_model:0.426180281577	away_number:26487	away_cali:0.508815645411	away_model:0.375451341036	end_number:26487	end_cali:0.0180465888927	end_model:0.198368377371	kld:0.160851615961	mae:0.120214525658
Bin:period_1-scoreDifferential_2-zone_nz-manpowerSituation_powerPlay-home_away_1-	home_number:199	home_cali:0.452261306533	home_model:0.470872322668	away_number:199	away_cali:0.547738693467	away_model:0.38286579404	end_number:199	end_cali:0.0	end_model:0.14626188711	kld:0.17791451515	mae:0.109915267558
Bin:period_1-scoreDifferential_-1-zone_oz-manpowerSituation_shortHanded-home_away_0-	home_number:415	home_cali:0.481927710843	home_model:0.467743125585	away_number:415	away_cali:0.481927710843	away_model:0.390301161955	end_number:415	end_cali:0.0361445783133	end_model:0.141955713449	kld:0.0665789002543	mae:0.0705407564276
Bin:period_2-scoreDifferential_-6-zone_nz-manpowerSituation_shortHanded-home_away_1-	home_number:5	home_cali:0.0	home_model:0.379179441929	away_number:5	away_cali:1.0	away_model:0.412531751394	end_number:5	end_cali:0.0	end_model:0.208288836479	kld:0.885442098687	mae:0.391645509005
Bin:period_1-scoreDifferential_-1-zone_dz-manpowerSituation_shortHanded-home_away_1-	home_number:4874	home_cali:0.438654082889	home_model:0.469424911256	away_number:4874	away_cali:0.541649569142	away_model:0.3897455125	end_number:4874	end_cali:0.0196963479688	end_model:0.140829575026	kld:0.109785996847	mae:0.101269370689
